�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
625,2017/9/28,NuCana plc ,NCNA,Citigroup/ Jefferies/ Cowen,15,15.5,16.15,0.0767
626,2017/9/28,Roku ,ROKU,Morgan Stanley/ Citigroup,14,15.78,23.5,0.6786
627,2017/9/29,PQ Group ,PGQ,Morgan Stanley/ Goldman Sachs/ Citigroup/ Credit Suisse,17.5,17,17.25,-0.0143
628,2017/10/5,Black Ridge Acquisition ,BRACU,EarlyBirdCapital,10,10.09,10.15,0.015
629,2017/10/5,Rhythm Pharmaceuticals ,RYTH,Morgan Stanley/ BofA Merrill Lynch/ Cowen,17,23.21,30,0.7647
630,2017/10/6,Switch ,SWCH,Goldman Sachs/ J.P. Morgan/ BMO Capital Markets/ Wells Fargo Securities,17,21.7,20.84,0.2259
631,2017/10/12,CarGurus ,CARG,Goldman Sachs/ Allen & Company/ RBC Capital Markets,16,29,27.58,0.7238
632,2017/10/12,OrthoPediatrics  ,KIDS,Piper Jaffray/ Stifel,13,18,19.72,0.5169
633,2017/10/12,Restoration Robotics ,HAIR,National Securities Corporation,7,8.85,9.92,0.4171
634,2017/10/13,OptiNose,OPTN,Jefferies/ Piper Jaffray/ BMO Capital Markets/ RBC Capital Markets,16,20,19,0.1875
635,2017/10/18,Qudian ,QD,Morgan Stanley/ Credit Suisse/ Citigroup/CICc/ UBS Securities,24,34.5,29.18,0.2158
636,2017/10/19,MongoDB ,MDB,Morgan Stanley/ Goldman Sachs/ Barclays/ Allen & Company,24,33,32.07,0.3363
637,2017/10/19,Mosaic Acquisition ,MOSC.U,Deutsche Bank Securities/ RBC Capital Markets/ J.P. Morgan,10,10.2,10.15,0.015
638,2017/10/20,Sea Limited ,SE,Goldman Sachs (Asia)/ Morgan Stanley/ Credit Suisse,15,16.25,16.26,0.084
639,2017/10/20,RISE Education Cayman ,REDU,Morgan Stanley/ Credit Suisse,14.5,16,16.61,0.1455
640,2017/10/25,Haymaker Acquisition ,HYACU,Cantor Fitzgerald,10,10.07,10.01,0.001
641,2017/10/26,BP Midstream Partners LP ,BPMP,Citigroup/ Goldman Sachs/ Morgan Stanley/ Barclays/ Credit Suisse/ J.P. Morgan/ UBS Investment Bank,18,16.85,17.25,-0.0417
642,2017/10/26,CM Seven Star Acquisition ,CMSSU,EarlyBirdCapital,10,10.01,10.01,0.001
643,2017/10/26,National Vision Holdings ,EYE,BofA Merrill Lynch/ Goldman Sachs/ Citigroup/ KKR/ Morgan Stanley/ Jefferies/ UBS Investment Bank/ Wells Fargo Securities,22,28.75,27.83,0.265
644,2017/10/27,Merchants Bancorp ,MBIN,Sandler O'Neill + Partners/ Stephens/ Raymond James,16,17,16.8,0.05
645,2017/10/27,Nexa Resources S.A. ,NEXA,J.P. Morgan/ BMO Capital Markets/ Morgan Stanley/ Credit Suisse,16,16.5,17.4,0.0875
646,2017/10/27,ForeScout Technologies ,FSCT,Morgan Stanley/ J.P. Morgan/ Citigroup,22,26.25,25.5,0.1591
647,2017/11/1,Altair Engineering ,ALTR,J.P. Morgan/ RBC Capital Markets/ Deutsche Bank Securities,13,17,18.31,0.4085
648,2017/11/1,Loma Negra ,LOMA,BofA Merrill Lynch/ Bradesco BBI/ Citigroup/ HSBC/ Itaú BBA/ Morgan Stanley,19,21.65,21.35,0.1237
649,2017/11/2,Allena Pharmaceuticals ,ALNA,Credit Suisse/ Jefferies/ Cowen,14,12,9.98,-0.2871
650,2017/11/2,Evoqua Water Technologies ,AQUA,Credit Suisse/ J.P. Morgan/ RBC Capital Markets,18,19.1,20.88,0.16
651,2017/11/2,Funko ,FNKO,Goldman Sachs/ J.P. Morgan/ BofA Merrill Lynch,12,8,7.07,-0.4108
652,2017/11/2,Spero Therapeutics ,SPRO,BofA Merrill Lynch/ Cowen/ Stifel,14,13.25,11.5,-0.1786
653,2017/11/3,ACM Research ,ACMR,Roth Capital Partners,5.6,8.17,6.05,0.0804
654,2017/11/3,Aquantia ,AQ,Morgan Stanley/ Barclays/ Deutsche Bank Securities,9,9.31,9.51,0.0567
655,2017/11/3,Sentinel Energy Services ,STNLU,Citigroup/ Goldman Sachs/ Credit Suisse,10,10.14,10.05,0.005
656,2017/11/8,CBTX ,CBTX,"Stephens/Keefe, Bruyette",26,28,28.71,0.1042
657,2017/11/8,Fireman B.V. ,IFRX,J.P. Morgan/ Leerink Partners/ BMO Capital Markets,15,15.19,14.99,-0.0007
658,2017/11/8,Four Seasons Education ,FEDU,Morgan Stanley/ Citigroup/ China Renaissance,10,10.2,9.5,-0.05
659,2017/11/8,Metropolitan Bank Holding ,MCB,"J.P Morgan/ Keefe, Bruyette & Woods (A Stifel Company)",35,38.44,37.21,0.0631
660,2017/11/9,Apellis Pharmaceuticals ,APLS,Citigroup/ J.P. Morgan/ Evercore ISI,14,14.5,14.03,0.0021
661,2017/11/9,Sogou ,SOGO,J.P. Morgan/ Credit Suisse/ Goldman Sachs/ CICC,13,13,13.5,0.0385
662,2017/11/10,Bandwidth ,BAND,Morgan Stanley/ KeyBanc Capital Markets/ Baird,20,21.06,21.19,0.0595
663,2017/11/10,PPDAI Group ,PPDF,Credit Suisse/ Citigroup,13,13.3,13.08,0.0062
664,2017/11/15,SendGrid ,SEND,Morgan Stanley/ J.P. Morgan,16,18.55,18,0.125
665,2017/11/16,Arsanis ,ASNS,Citigroup/ Cowen/ Piper Jaffray,10,13,14.03,0.403
666,2017/11/16,Jianpu Technology ,JT,Goldman Sachs (Asia)/ Morgan Stanley/ J.P. Morgan,8,8.25,8.4,0.05
667,2017/11/17,Bluegreen Vacations ,BXG,Stifel/ Credit Suisse,14,12.55,13,-0.0714
668,2017/11/17,Legacy Acquisition ,LGCU,Wells Fargo Securities/ Cantor Fitzgerald/ Stifel,10,10,10,0
669,2017/11/17,SailPoint Technologies Holdings ,SAIL,Morgan Stanley/ Citigroup/ Jefferies/ RBC Capital Markets,12,14.9,13,0.0833
670,2017/11/17,scPharmaceuticals ,SCPH,Jefferies/ Leerink Partners/ BMO Capital Markets,14,14.25,14.1,0.0071
671,2017/11/17,Stitch Fix ,SFIX,Goldman Sachs/ J.P. Morgan Securities,15,16.9,15.15,0.01
672,2017/11/17,Sterling Bancorp ,SBT,Sandler O'Neill & Partners,12,12.35,12.16,0.0133
673,2017/11/20,Big Rock Partners Acquisition ,BRPAU,EarlyBirdCapital,10,10.01,10.01,0.001
674,2017/11/29,ReTo Eco-Solutions ,RETO,ViewTrade Securities,5,8.3,10.57,1.114
675,2017/12/1,Leisure Acquisition,LACQU,Morgan Stanley,10,10,9.96,-0.004
676,2017/12/1,Regalwood Global Energy ,RWGE.U,Citigroup/ J.P. Morgan,10,10.01,10,0
677,2017/12/7,CURO Group Holdings ,CURO,Credit Suisse/ Jefferies/ Stephens,14,14.8,14.2,0.0143
678,2017/12/7,Odonate Therapeutics ,ODT,Goldman Sachs/ Jefferies,24,23,23,-0.0417
679,2017/12/7,Quanterix ,QTRX,J.P. Morgan/Leerink Partners,15,16.25,17.47,0.1647
680,2017/12/8,Denali Therapeutics ,DNLI,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,18,21.55,21.45,0.1917
681,2017/12/8,GigCapital ,GIG.U,Cowen/ Chardan,10,10,10,0
682,2017/12/8,Luther Burbank ,LBC,"Keefe, Bruyette & Woods (A Stifel Company) Sandler O'Neill + Partners",10.75,11.75,11.75,0.093
683,2017/12/15,Casa Systems ,CASA,Morgan Stanley/ Barclays,13,13.5,14.4,0.1077
684,2017/12/15,Newmark Group ,NMRK,Goldman Sachs/ BofA Merrill Lynch/ Citigroup/ Cantor Fitzgerald,14,14.05,13.95,-0.0036
685,2017/12/21,LexinFintech Holdings Ltd. ,LX,Goldman Sachs (Asia)/ BofA Merrill Lynch/ Deutsche Bank Securities/ China Renaissance,9,11.8,10.7,0.1889
686,2017/12/22,iClick Interactive Asia Group ,ICLK,Roth,8,8.5,9,0.125
687,2016/2/3,"BeiGene, Ltd. ",BGNE,Goldman Sachs/ Morgan Stanley/ Cowen and Company,24,28.97,28.32,0.18
688,2016/2/3,Editas Medicine ,EDIT,Morgan Stanley/ J.P. Morgan,16,18,18.2,0.1375
689,2016/2/11,AveXis ,AVXS,Goldman Sachs/ Jefferies,20,18.02,18.05,-0.0975
690,2016/2/11,Proteostasis Therapeutics ,PTI,Leerink Partners/ RBC Capital Markets,8,8,6.64,-0.17
691,2016/2/24,Silver Run Acquisition ,SRAQU,Deutsche Bank Securities/ Citigroup/ Goldman Sachs,10,10.01,10.21,0.021
692,2016/3/3,Jensyn Acquisition ,JSYNU,Chardan Capital Markets,10,9.95,9.95,-0.005
693,2016/3/3,Syndax Pharmaceuticals ,SNDX,Morgan Stanley/ Citigroup,12,12.11,12.01,0.0008
694,2016/3/11,KLR Energy Acquisition ,KLREU,EarlyBirdCapital,10,10,10,0
695,2016/3/22,Corvus Pharmaceuticals ,CRVS,Credit Suisse/ Cowen and Company,15,15,14.25,-0.05
696,2016/4/7,Aeglea BioTherapeutics ,AGLE,UBS Investment Bank/ BMO Capital Markets/ Wells Fargo Securities,10,10.4,9.77,-0.023
697,2016/4/15,Bats Global Markets ,BATS,Morgan Stanley/ Citigroup,19,22.88,23,0.2105
698,2016/4/20,MGM Growth Properties LLC ,MGP,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Evercore ISI/ Barclays/ Citigroup/ Deutsche Bank Securities,21,22.75,22.01,0.0481
699,2016/4/21,American Renal Associates Holdings ,ARA,BofA Merrill Lynch/ Barclays/ Goldman Sachs/ Wells Fargo Securities/ SunTrust Robinson Humphrey/Leerink Partners,22,26.5,26.5,0.2045
700,2016/4/22,SecureWorks ,SCWX,BofA Merrill Lynch/ Morgan Stanley/ Goldman Sachs/ J.P. Morgan,14,13.91,14,0
701,2016/4/27,Red Rock Resorts ,RRR,Deutsche Bank Securities/ J.P. Morgan/ BofA Merrill Lynch/ Goldman Sachs,19.5,18.5,18.7,-0.041
702,2016/4/27,Yintech Investment Holdings Limited ,YIN,Jefferies,13.5,13.8,13.5,0
703,2016/5/6,Intellia Therapeutics ,NTLA,Credit Suisse/ Jefferies/ Leerink Partners,18,22,22.1,0.2278
704,2016/5/6,Spring Bank Pharmaceuticals ,SBPH,Dawson James Securities,12,11.28,11.1,-0.075
705,2016/5/12,SiteOne Landscape Supply ,SITE,Deutsche Bank Securities/ Goldman Sachs/ UBS Investment Bank,21,25.9,26.67,0.27
706,2016/5/13,Acacia Communications,ACIA,Goldman Sachs/ BofA Merrill Lynch/ Deutsche Bank Securities,23,29,30.95,0.3457
707,2016/5/13,Oncobiologics ,ONSIU,Jefferies/ Barclays,6,5.12,4.8,-0.2
708,2016/5/18,PhaseRx ,PZRX,Laidlaw & Company (UK) Ltd.,4,4.13,4.17,0.0425
709,2016/5/19,Grupo Supervielle S.A. ,SUPV,Morgan Stanley/ BofA Merrill Lynch,11,11.5,11.5,0.0455
710,2016/5/19,Merus B.V. ,MRUS,Citigroup/ Jefferies,10,9.75,10.04,0.004
711,2016/5/20,CF Corporation ,CFCOU,Citigroup/ BofA Merrill Lynch/ Credit Suisse​,10,10.04,9.99,-0.001
712,2016/5/24,Midland States Bancorp ,MSBI,"Sandler O'Neill + Partners/ Keefe, Bruyette & Woods (A Stifel Company)",22,22.06,21.9,-0.0045
713,2016/5/26,Cotiviti Holdings ,COTV,Goldman Sachs/ J.P. Morgan,19,19.5,17.11,-0.0995
714,2016/5/26,GMS,GMS,Barclays/ Credit Suisse,21,22.5,21.91,0.0433
715,2016/5/26,Landcadia Holdings ,LCAHU,Jefferies/ Deutsche Bank Securities,10,10,10,0
716,2016/5/26,Reata Pharmaceuticals ,RETA,Citigroup/ Cowen and Company/ Piper Jaffray,11,11.06,13.7,0.2455
717,2016/5/26,US Foods Holding ,USFD,Goldman Sachs/ Morgan Stanley/ J.P. Morgan,23,24.25,24.91,0.083
718,2016/6/2,Clearside Biomedical ,CLSD,Cowen and Company/ Stifel,7,8,7.25,0.0357
719,2016/6/2,Nant Health ,NH,Jefferies/ Cowen and Company,14,16.11,18.59,0.3279
720,2016/6/3,Sensus Healthcare ,SRTSU,Northland Capital Markets/ Neidiger Tucker Bruner,23,23.25,24.91,0.083
721,2016/6/10,Atkore International Group ,ATKR,Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ UBS Investment Bank,16,15.75,16,0
722,2016/6/10,China Online Education Group ,COE,Morgan Stanley/ Credit Suisse,19,19.5,18.98,-0.0011
723,2016/6/22,Selecta Biosciences ,SELB,UBS Investment Bank/ Stifel,14,15,14,0
724,2016/6/23,Twilio,TWLO,Goldman Sachs/ J.P. Morgan,15,23.99,28.79,0.9193
725,2016/7/7,M III Acquisition ,MIIIU,Cantor Fitzgerald & Co.,10,10,9.63,-0.037
726,2016/7/8,Monster Digital ,MSDI,Axiom Capital Management/ WestPark Capital,4.5,4,3.68,-0.1822
727,2016/7/14,LINE Corporation ,LN,Morgan Stanley/ Nomura/ Goldman Sachs Japan/ J.P. Morgan,32.84,42,41.58,0.2661
728,2016/7/15,AdvancePierre Foods Holdings ,APFH,Barclays/ Credit Suisse/ Morgan Stanley,21,23.5,24,0.1429
729,2016/7/15,Conyers Park Acquisition ,CPAAU,Deutsche Bank Securities/ Goldman Sachs,10,10.05,10.21,0.021
730,2016/7/20,Audentes Therapeutics ,BOLD,BofA Merrill Lynch/ Cowen and Company/ Piper Jaffray,15,19,15.13,0.0087
731,2016/7/21,IMPINJ ,PI,RBC Capital Markets/ Pacific Crest Securities (a division of KeyBanc Capital Markets)/ Piper Jaffray,14,18,17.97,0.2836
732,2016/7/21,Patheon N.V. ,PTHN,J.P. Morgan/ Morgan Stanley/ Jefferies/ UBS Investment Bank,21,25,24.99,0.19
733,2016/7/22,TPI Composites ,TPIC,J.P. Morgan/ Morgan Stanley,11,13.56,13.56,0.2327
734,2016/7/27,Kadmon Holdings ,KDMN,Citigroup/ Jefferies,12,11.55,9.7,-0.1917
735,2016/7/28,Kinsale Capital Group ,KNSL,J.P. Morgan/ William Blair/ RBC Capital Markets,16,18,18.35,0.1469
736,2016/7/28,Tactile Systems Technology ,TCMD,Piper Jaffray/ William Blair/ Canaccord Genuity,10,10.35,11,0.1
737,2016/7/29,Talend SA ,TLND,Goldman Sachs/ J.P. Morgan/ Barclays/ Citigroup,18,27.66,25.5,0.4167
738,2016/8/4,At Home Group ,HOME,BofA Merrill Lynch/ Goldman Sachs/ Jefferies/ Morgan Stanley,15,16.25,16.31,0.0873
739,2016/8/4,First Hawaiian ,FHB,Goldman Sachs/ BofA Merrill Lynch/ BNP PARIBAS/ Barclays/ Credit Suisse/ Deutsche Bank Securities/ J.P. Morgan/ Citigroup/ Morgan Stanley/ UBS Investment Bank,23,24.2,24.25,0.0543
740,2016/8/5,Atomera ,ATMR,National Securities Corporation,7.5,8.13,8.08,0.0773
741,2016/8/5,Gemphire Therapeutics ,GEMP,Jefferies/ Cowen and Company,10,9.25,9.2,-0.08
742,2016/8/11,Medpace Holdings ,MEDP,Jefferies/ Credit Suisse/ UBS Investment Bank/ Wells Fargo Securities,23,28.15,27.79,0.2083
743,2016/8/11,Protagonist Therapeutics ,PTGX,Leerink Partners/ Barclays/ BMO Capital Markets,12,12,11.7,-0.025
744,2016/8/12,Airgain ,AIRG,Northland Capital Markets,8,8,8,0
745,2016/8/19,Stellar Acquisition III ,STRU,Maxim Group LLC,10,10,9.97,-0.003
746,2016/9/14,M I Acquisitions ,MACQU,Chardan Capital Markets,10,10,10,0
747,2016/9/15,Noble Midstream Partners LP,NBLX,Barclays/ Baird/ J.P. Morgan/ BofA Merrill Lynch/ Citigroup/ Deutsche Bank Securities/ DNB Markets/ Mizuho Securities/ MUFG/ Wells Fargo Securities,22.5,26.5,26.2,0.1644
748,2016/9/16,Everbridge,EVBG,Credit Suisse/ BofA Merrill Lynch,12,12.3,15.25,0.2708
749,2016/9/16,FB Financial ,FBK,"J.P. Morgan/ UBS/ Keefe, Bruyette & Woods (A Stifel Company)",19,21.15,20.75,0.0921
750,2016/9/16,Saban Capital Acquisition (SCACU) (u),SCACU,Deutsche Bank Securities/ Goldman Sachs,10,10.06,10.05,0.005
751,2016/9/21,Novan ,NOVN,Piper Jaffray,11,14.4,18.1,0.6455
752,2016/9/21,The Trade Desk ,TTD,Citigroup/ Jefferies/  RBC Capital Markets,18,28.75,30.1,0.6722
753,2016/9/22,CapStar Financial Holdings ,CSTR,"Keefe, Bruyette & Woods/ Sandler O’Neill + Partners, L.P",15,16.56,15.9,0.06
754,2016/9/22,e.l.f. Beauty,ELF,J.P. Morgan/ Morgan Stanley,17,24,26.5,0.5588
755,2016/9/23,AC Immune SA ,ACIU,Credit Suisse/ Jefferies/ Leerink Partners ,11,14.11,15.66,0.4236
756,2016/9/23,Apptio,APTI,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch",16,23.4,22.5,0.4063
757,2016/9/23,Gridsum ,GSUM,Goldman Sachs (Asia)/ Citigroup,13,15.25,15.75,0.2115
758,2016/9/23,Valvoline ,VVV,BofA Merrill Lynch/ Citigroup/ Morgan Stanley,22,24.1,23.1,0.05
759,2016/9/29,Fulgent Genetics ,FLGT,Credit Suisse/ Jefferies,9,9.21,9.18,0.02
760,2016/9/29,MedEquities Realty Trust ,MRT,FBR/ J.P. Morgan/ Citigroup/ KeyBanc Capital Markets,12,11.5,11.59,-0.0342
761,2016/9/29,Tabula Rasa HealthCare ,TRHC,Wells Fargo Securities/ UBS Investment Bank/ Piper Jaffray,12,14.7,14.88,0.24
762,2016/9/30,Nutanix,NTNX,Goldman Sachs/ Morgan Stanley/ J.P. Morgan/ RBC Capital Markets,16,26.5,37,1.3125
763,2016/10/6,Advanced Disposal Services ,ADSW,Deutsche Bank Securities/ Credit Suisse/ Barclays,18,20.5,20,0.1111
764,2016/10/6,AquaVenture Holdings ,WAAS,Citigroup/ Deutsche Bank Securities/ RBC Capital Markets,18,21,21.95,0.2194
765,2016/10/6,Coupa Software ,COUP,Morgan Stanley/ J.P. Morgan/ Barclays/ RBC Capital Markets,18,35,33.09,0.8383
766,2016/10/6,Obalon Therapeutics ,OBLN,UBS Investment Bank/ Canaccord Genuity/ Stifel,15,15.21,15,0
767,2016/10/7,Camping World Holdings ,CWH,Goldman Sachs/ J.P. Morgan,22,23.75,22.5,0.0227
768,2016/10/7,Everspin Technologies ,MRAM,Stifel/ Needham & Company,8,9.1,8.02,0.0025
769,2016/10/11,Avista Healthcare Public Acquisition (AHPAU) (u),AHPAU,Credit Suisse,10,9.82,9.86,-0.014
770,2016/10/11,AzurRx BioPharma ,AZRX,WallachBeth Capital/ Network 1 Financial Securities,5.5,5.06,4.98,-0.0945
771,2016/10/12,Azure Power Global ,AZRE,Barclays/ Credit Suisse,18,16.12,14.6,-0.1889
772,2016/10/12,Extraction Oil & Gas ,XOG,Credit Suisse/ Barclays/ Goldman Sachs,19,22.75,21.85,0.15
773,2016/10/14,Mammoth Energy Services ,TUSK,Credit Suisse/ Barclays/ Simmons & Company International (Energy Specialists of Piper Jaffray),15,13.66,13.26,-0.116
774,2016/10/19,CRISPR Therapeutics AG ,CRSP,Citigroup/ Piper Jaffray/ Barclays,14,15,14.09,0.0064
775,2016/10/20,Forterra ,FRTA,Goldman Sachs/ Citigroup/ Credit Suisse,18,16.61,16.5,-0.0833
776,2016/10/20,iRhythm Technologies ,IRTC,J.P. Morgan/ Morgan Stanley,17,26.75,26.05,0.5324
777,2016/10/26,Ra Pharmaceuticals ,RARX,Credit Suisse/ Jefferies/ BMO Capital Markets,13,14.16,13,0
778,2016/10/27,GTY Technology Holdings ,GTYHU,Citigroup,10,10.04,10.05,0.005
779,2016/10/27,Myovant Sciences Ltd. ,MYOV,Citigroup/ Cowen and Company/ Evercore ISI/ Barclays,15,15,13.26,-0.116
780,2016/10/27,ZTO Express (Cayman) ,ZTO,Morgan Stanley/ Goldman Sachs (Asia),19.5,18.4,16.57,-0.1503
781,2016/10/28,Acushnet Holdings ,GOLF,J.P. Morgan/ Morgan Stanley/ Nomura/ UBS Investment Bank,17,17.04,17.95,0.0559
782,2016/10/28,BlackLine ,BL,Goldman Sachs/ J.P. Morgan,17,24.52,23.7,0.3941
783,2016/10/28,Quantenna Communications ,QTNA,Morgan Stanley/ Barclays/ Deutsche Bank Securities,16,16.8,15.5,-0.0313
784,2016/11/2,GDS Holdings Ltd. ,GDS,Credit Suisse/ J.P. Morgan,10,10,10.41,0.041
785,2016/11/4,Smart Sand ,SND,Credit Suisse/ GoldmanSachs,11,10.3,10.99,-0.0009
786,2016/12/1,Innovative Industrial Properties ,IIPR,Ladenburg Thalmann/ Compass Point,20,20.25,19.15,-0.0425
787,2016/12/7,Polar Power ,POLA,Roth Capital Partners/ Joseph Gunnar,7,7.55,9,0.2857
788,2016/12/8,SenesTech ,SNES,Roth Capital Partners,8,8.25,8.16,0.02
789,2016/12/9,Athene Holding Ltd. ,ATH,Goldman Sachs/ Barclays/ Citigroup/ Wells Fargo Securities,40,43.56,44.05,0.1013
790,2016/12/9,"Ichor Holdings, Ltd. ",ICHR,Deutsche Bank Securities/ Stifel,9,10.25,9.77,0.0856
791,2016/12/14,WildHorse Resource Development ,WRD,Barclays/ BofA Merrill Lynch/ BMO Capital Markets/ Citigroup/ Wells Fargo Securities,15,15.7,15.06,0.004
792,2016/12/16,trivago N.V. ,TRVG,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,11,11.2,11.85,0.0773
793,2015/1/16,Patriot National  ,PN,UBS Investment Bank/ BMO Capital Markets/ SunTrust Robinson Humphrey,14,13.49,13.5,-0.0357
794,2015/1/16,County Bancorp  ,ICBK,Baird/ Sterne Agee,15.75,16.35,17,0.0794
795,2015/1/16,Quinpario Acquisition Corp. 2  ,QPACU,Deutsche Bank Securities/ Cantor Fitzgerald,10,10.01,10,0
796,2015/1/23,Box,BOX,Morgan Stanley/ Credit Suisse/ J.P. Morgan,14,20.2,23.23,0.6593
797,2015/1/27,Zosano Pharma (ZSAN),ZSAN,Ladenburg Thalmann/ Roth Capital Partners,11,12.16,11.1,0.0091
798,2015/1/28,Ascendis Pharma A/S  ,ASND,BofA Merrill Lynch/ Leerink Partners,18,21.5,18.83,0.0461
799,2015/1/29,Entellus Medical ,ENTL,BofA Merrill Lynch/ Piper Jaffray,17,19.26,22,0.2941
800,2015/1/29,Flex Pharma  ,FLKS,Jefferies/ Piper Jaffray,16,19,14.95,-0.0656
801,2015/1/29,Presbia PLC ,LENS,Jefferies,10,9.25,8.15,-0.185
802,2015/1/30,Avinger  ,AVGR,Canaccord Genuity/ Cowen,13,13.15,13.5,0.0385
803,2015/1/30,InfraREIT ,HIFR,BofA Merrill Lynch/ Citigroup,23,27.1,26.6,0.1565
804,2015/1/30,Spark Therapeutics ,ONCE,J.P. Morgan/ Credit Suisse,23,42.05,50,1.1739
805,2015/1/30,Tracon Pharmaceuticals ,TCON,Wells Fargo Securities/ Stifel,10,10,9.4,-0.06
806,2015/1/30,Shake Shack ,SHAK,J.P. Morgan/ Morgan Stanley,21,47,45.9,1.1857
807,2015/2/5,Nexvet Biopharma plc ,NVET,BofA Merrill Lynch/ Cowen and Company,10,9.15,8.88,-0.112
808,2015/2/6,Barington/Hilco Acquisition  ,BHACU,EarlyBirdCapital,10,10,9.99,-0.001
809,2015/2/6,Columbia Pipeline Partners LP ,CPPL,Barclays/ Citigroup/ BofA Merrill Lynch/ Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Wells Fargo Securities,23,28,26.79,0.1648
810,2015/2/6,Easterly Government Properties  (DEA),DEA,Citigroup/ Raymond James/ RBC Capital Markets,15,16.25,15.5,0.0333
811,2015/2/10,Avenue Financial  ,AVNU,"Keefe, Bruyette & Woods (A Stifel Company)",11,14.3,11.85,0.0773
812,2015/2/12,Inovalon Holdings ,INOV,Goldman Sachs/ Morgan Stanley/ Citigroup/ BofA Merrill Lynch/ UBS Investment Bank,27,33.16,27,0
813,2015/2/12,Invitae  ,NVTA,J.P. Morgan,16,17.5,17.05,0.0656
814,2015/2/13,Bellerophon Therapeutics   ,BLPH,Leerink Partners/ Cowen and Company,12,10,8.97,-0.2525
815,2015/2/13,Eyegate Pharmaceuticals   ,EYEG,Aegis Capital Corp,6,6,6,0
816,2015/2/13,Great Ajax  ,AJX,FBR/ Sterne Agee/ Nomura,14.25,14.25,14,-0.0175
817,2015/2/13,FinTech Acquisition ,FNTCU,Cantor Fitzgerald ,10,10,10,0
818,2015/2/18,Inotek Pharmaceuticals  ,ITEK,Cowen and Company/ Piper Jaffray,6,6.1,6,0
819,2015/2/19,Check-Cap Ltd. ,CHEKU,Chardan Capital Markets/ Maxim Group,6,6,6.01,0.0017
820,2015/2/21,Baozun ,BZUN,Morgan Stanley/ Credit Suisse/ BofA Merrill Lynch,10,10.25,10.44,0.044
821,2015/2/21,Community Healthcare Trust ,CHCT,Sandler ONeill + Partners/ SunTrust Robinson Humphrey,19,19,19.75,0.0395
822,2015/3/6,MaxPoint Interactive   ,MXPT,Goldman Sachs/ Deutsche Bank Securities/ Pacific Crest Securities,11.5,11,9.76,-0.1513
823,2015/3/12,Summit Materials   ,SUM,Citigroup/ Goldman Sachs/ BofA Merrill Lynch/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,18,20.16,20.97,0.165
824,2015/3/17,Goldman Sachs BDC ,GSBD,BofA Merrill Lynch/ Goldman Sachs/ Morgan Stanley/ Citigroup/ Credit Suisse/ Wells Fargo Securities,20,19.5,20.05,0.0025
825,2015/3/19,National Commerce  ,NCOM,"Keefe, Bruyette & Woods (A Stifel Company)",19.5,21.05,21.12,0.0831
826,2015/3/20,SteadyMed ,STDY,Wells Fargo Securities/ RBC Capital Markets,8.5,8.06,8.6,0.0118
827,2015/3/24,Harmony Merger ,HRMNU,Cantor Fitzgerald & Co.,10,10,10,0
828,2015/3/26,SolarEdge Technologies,SEDG,Goldman Sachs/ Deutsche Bank Securities,18,20,20.7,0.15
829,2015/3/27,Jernigan Capital ,JCAP,Raymond James/ Baird/ Wunderlich Securities,20,20.05,20.31,0.0155
830,2015/4/1,GoDaddy ,GDDY,Morgan Stanley/ J.P. Morgan/ Citigroup/ Barclays/ Deutsche Bank Securities/ RBC Capital Markets,20,26.15,26.15,0.3075
831,2015/4/2,Kornit Digital Ltd.   ,KRNT,Barclays/ Citigroup,10,12.94,14,0.4
832,2015/4/8,Wowo Ltd ,WOWO,Axiom,10,11.06,10.29,0.029
833,2015/4/9,Carbylan Therapeutics ,CBYL,Leerink Partners,5,5.56,5.56,0.112
834,2015/4/15,Cidara Therapeutics  ,CDTX,Jefferies/ Leerink Partners,16,16.11,16,0
835,2015/4/15,Aduro Biotech  ,ADRO,BofA Merrill Lynch/ Leerink Partners,17,32,42,1.4706
836,2015/4/16,Etsy ,ETSY,Goldman Sachs,16,31,30,0.875
837,2015/4/16,KemPharm   ,KMPH,Cowen and Company/ RBC Capital Markets,11,11.75,11.2,0.0182
838,2015/4/16,Party City Holdco ,PRTY,Goldman Sachs/ BofA Merrill Lynch,17,20.5,20.7,0.2176
839,2015/4/16,Virtu Financial ,VIRT,"Goldman Sachs/ J.P. Morgan/ Sandler O'Neill + Partners, L.P.",19,23,22.18,0.1674
840,2015/4/23,National Storage Affiliates Trust  (NSA),NSA,Jefferies/ Morgan Stanley/ Wells Fargo Securities,13,13,13,0
841,2015/4/24,Apigee  ,APIC,Morgan Stanley/ J.P. Morgan/ Credit Suisse,17,20,16.7,-0.0176
842,2015/4/29,Atlantic Alliance Partnership ,AAPC,Citigroup,10,10.01,10.06,0.006
