�gnc,Date,Issuer,Symbol,Lead/Joint-Lead _Managers,Offer_Price,Opening_Price,1st Day_Close,1st Day_Chng
3024,2003/10/7,Acusphere ,ACUS,SG Cowen,14,16.02,14.03,0.0021
3025,2003/10/9,DigitalNet Holdings ,DNET,Citigroup/UBS Investment Bank,17,19.66,20.96,0.2329
3026,2003/10/16,Advancis Pharmaceutical ,AVNC,Lehman Brothers,10,10.01,10,0
3027,2003/10/23,First Potomac Realty Trust ,FPO,Ferris Baker Watts/McDonald Investments,15,15.8,16.03,0.0687
3028,2003/10/23,Carter's,CRI,Goldman Sachs,19,24.05,24.65,0.2974
3029,2003/10/29,CancerVex,CNVX,Lehman Brothers,12,12.01,12,0
3030,2003/10/29,Genitope ,GTOP,WR Hambrecht+Co.,9,9,10,0.1111
3031,2003/10/29,Centennial Specialty Foods ,CHLE,JP Turner,5,4.5,4.4,-0.12
3032,2003/10/29,Myogen,MYOG,CS First Boston/JP Morgan,14,14.3,14.9,0.0643
3033,2003/10/30,First Marblehead ,FMD,Goldman Sachs/JP Morgan,16,18.5,22.15,0.3844
3034,2003/10/30,Overnite ,OVNT,Credit Suisse First Boston/Morgan Stanley,19,21.55,22.16,0.1663
3035,2003/11/5,NitroMed ,NTMD,Deutsche Bank/JP Morgan,11,11.44,9.29,-0.1555
3036,2003/11/5,Pharmion ,PHRM,Morgan Stanley/JP Morgan,14,14.6,14,0
3037,2003/11/5,Coast Financial Holdings ,CFHI,Sterne Agee & Leach,12,12.51,13.45,0.1208
3038,2003/11/6,Quality Distribution,QLTY,Credit Suisse First Boston/Bear Stearns,17,20.36,18.75,0.1029
3039,2003/11/11,Marlin Business Services ,MRLN,US Bancorp Piper Jaffray/Wm Blair,14,15.59,16.15,0.1536
3040,2003/11/12,Tessera Technologies ,TSRA,Lehman Brothers/Merrill Lynch,13,15.09,18.5,0.4231
3041,2003/11/13,LECG,XPRT,UBS Investment Bank,17,22.01,21.03,0.2371
3042,2003/11/19,Whiting Petroleum Holdings ,WLL,Merrill Lynch/AG Edwards,15.5,16.4,16.27,0.0497
3043,2003/11/19,Callidus Software ,CALD,Citigroup,14,17.2,17.37,0.2407
3044,2003/11/20,Buffalo Wild Wings ,BWLD,RBC Capital Markets/SG Cowen,17,21.8,22.95,0.35
3045,2003/11/24,Nexstar Broadcasting Group ,NXST,Banc of America/Bear Stearns,14,13.98,13.25,-0.0536
3046,2003/11/24,SIRVA ,SIR,CS First Boston/Goldman Sachs,18.5,18.5,18.1,-0.0216
3047,2003/11/24,SYNNEX ,SNX,Bear Stearns,14.5,14.15,14.2,-0.0207
3048,2003/11/24,Pinnacle Airlines ,PNCL,Morgan Stanley,14,14.01,14.05,0.0036
3049,2003/11/24,Conn's ,CONN,Stephens/SunTrust Robinson Humphrey,14,15.13,15.04,0.0743
3050,2003/11/25,Open Solutions ,OPEN,Bear Stearns,17,19,18.66,0.0976
3051,2003/12/3,Aspen Insurance Holdings ,AHL,Credit Suisse First Boston/Goldman Sachs,22.5,25,24.05,0.0689
3052,2003/12/3,American Equity Investment Life Holding ,AEL,Merrill Lynch/Advest,9,9,9.05,0.0056
3053,2003/12/4,Volume Service America Holdings ,CVP,CIBC Worldwide/UBS Investment Bank,15,15.1,15.26,0.0173
3054,2003/12/8,Ctrip.com International ,CTRP,Merrill Lynch,18,24.01,33.94,0.8856
3055,2003/12/10,NPTest Holdings ,NPTT,Citigroup/CS First Boston,12,11.6,11.49,-0.0425
3056,2003/12/10,Nelnet ,NNI,JP Morgan/Banc of America,21,22.05,21.8,0.0381
3057,2003/12/11,Natural Golf,NAX,Gilford Securities,5,5.05,5,0
3058,2003/12/11,Compass Mineral International ,CMP,Goldman Sachs/CS First Boston,13,13,13.75,0.0577
3059,2003/12/11,Central Freight Lines ,CENF,Bear Stearns,15,16.2,17.35,0.1567
3060,2003/12/11,China Life Insurance,LFC,China Inter'l/Citigroup/CS First Boston/Deutsche Bank,18.68,23.25,23.72,0.2698
3061,2003/12/11,International Steel Group ,ISG,Goldman Sachs/UBS Investment Bank,28,33.5,35.2,0.2571
3062,2003/12/15,Highland Hospitality ,HIH,Friedman Billings Ramsey,10,10.5,10.65,0.065
3063,2003/12/15,United National Group ,UNGL,Merrill Lynch,17,17,17.5,0.0294
3064,2003/12/16,Falcon Financial Investment ,FLCN,Friedman Billings Ramsey,9,8.95,9.05,0.0056
3065,2003/12/16,Provide-Commerce ,PRVD,SG Cowen,15,15.5,13,-0.1333
3066,2003/12/16,Orbitz ,ORBZ,Goldman Sachs/CS First Boston,26,30,24.98,-0.0392
3067,2003/12/16,Universal Technical Institute ,UTI,Credit Suisse First Boston,20.5,24.5,26.35,0.2854
3068,2003/12/17,Knology,KNOL,UBS Investment Bank,9,9.1,9.38,0.0422
3069,2003/12/17,Tempur-Pedic International,TPX,Lehman Brothers/Goldman Sachs,14,14,15.5,0.1071
3070,2003/12/17,Franklin Bank,FBTX,Friedman Billings Ramsey,14.5,16.74,17.8,0.2276
3071,2003/12/18,Luminent Mortgage Capital ,LUM,Friedman Billings Ramsey,13,13.55,13.55,0.0423
3072,2003/12/19,Kintera ,KNTA,SG Cowen,7,7.96,10.3,0.4714
3073,2002/1/28,Synaptics,SYNA,Bear Stearns,11,13.11,13.11,0.1918
3074,2002/2/1,ZymoGenetics ,ZGEN,Lehman Brothers/Merrill Lynch,12,12.01,12.05,0.0042
3075,2002/2/1,Carolina Group (Loews Corp.) ,CG,Salomon Smith Barney/Morgan Stanley,28,30.05,29.1,0.0393
3076,2002/2/5,Sunoco Logistics Partners ,SXL,Lehman Brothers,20.25,21.25,22.1,0.0914
3077,2002/2/7,ManTech International,MANT,Jefferies,16,17.1,18.21,0.1381
3078,2002/2/8,Wimm Bill Dann Foods ,WBD,ING Barings,19.5,22,22.6,0.159
3079,2002/2/13,GameStop ,GME,Salomon Smith Barney,18,19.5,20.1,0.1167
3080,2002/2/15,PayPal,PYPL,Salomon Smith Barney,13,15.41,20.09,0.5454
3081,2002/2/22,PETCO Animal Supplies ,PETC,Merrill Lynch/Morgan Stanley,19,19.36,20,0.0526
3082,2002/2/27,Integrated Defense ,IDE,Credit Suisse First Boston,22,26.75,25,0.1364
3083,2002/3/5,Tsakos Energy Navigation ,TNP,JP Morgan,15,15.9,15.1,0.0067
3084,2002/3/12,WCI Communities ,WCI,UBS Warburg,19,22.6,22.67,0.1932
3085,2002/3/12,Anteon International ,ANT,Goldman Sachs,18,21,20.05,0.1139
3086,2002/3/14,Asbury Automotive Group ,ABG,Goldman Sachs/Merrill Lynch,16.5,16.9,16.8,0.0182
3087,2002/3/21,Alcon ,ACL,CS First Boston/Merrill Lynch,33,33.9,34,0.0303
3088,2002/3/22,Travelers Property Casualty,TAP.A,Salomon Smith Barney,18.5,19.55,19.56,0.0573
3089,2002/3/27,MedSource Technologies ,MEDT,Morgan Stanley,12,12.51,13,0.0833
3090,2002/4/9,Empire Financial Holding,EFH,Keefe Bruyette,6,6,5.35,-0.1083
3091,2002/4/12,Ribapharm,RNA,UBS Warburg,10,10,10.8,0.08
3092,2002/4/12,JetBlue Airways ,JBLU,Morgan Stanley/Merrill Lynch,27,37.52,45,0.6667
3093,2002/4/18,ExpressJet Holdings ,XJT,Salomon Smith Barney/Morgan Stanley,16,17.1,16,0
3094,2002/4/18,Medical Staffing Network Holdings ,MRN,Lehman Brothers,19,23,21.5,0.1316
3095,2002/4/24,Heritage Property Invest. Trust ,HTG,Merrill Lynch,25,25.1,25.05,0.002
3096,2002/4/25,DOV Pharmaceutical ,DOVP,CIBC World Markets/Lehman Brothers,13,11.25,8.7,-0.3308
3097,2002/4/29,Premcor ,PCO,Morgan Stanley/Credit Suisse First Boston,24,27.75,28.25,0.1771
3098,2002/5/3,LIN TV ,TVL,Deutsche Bank Securities,22,23,25,0.1364
3099,2002/5/7,Quinton Cardiology Systems ,QUIN,Adams Harkness,7,7.5,7.19,0.0271
3100,2002/5/9,Regal Entertainment Group ,RGC,CS First Boston/Lehman Brothers,19,22,21.75,0.1447
3101,2002/5/16,Verint Systems ,VRNT,Lehman Brothers,16,16.1,14.49,-0.0944
3102,2002/5/16,Dickie Walker Marine ,DWMA,Schneider Securities,5,5.26,5.32,0.064
3103,2002/5/16,Aeropostale ,ARO,Bear Stearns/Merrill Lynch,18,24.9,27.75,0.5417
3104,2002/5/17,Kyphon ,KYPH,US Bancorp Piper Jaffray,15,18.31,17.05,0.1367
3105,2002/5/21,MarkWest Energy Partners ,MWE,AG Edwards/RBC Capital,20.5,21.5,20.55,0.0024
3106,2002/5/21,Computer Programs and Systems,CPSI,Morgan Keegan/Raymond James,16.5,17.5,18.12,0.0982
3107,2002/5/22,Liquidmetals Technologies ,LQMT,Merrill Lynch,15,15.01,15.03,0.002
3108,2002/5/23,Altiris ,ATRS,CS First Boston,10,9,8.87,-0.113
3109,2002/5/23,Eon Labs ,ELAB,CS First Boston/Goldman Sachs,15,15.01,15.05,0.0033
3110,2002/5/23,Netflix ,NFLX,Merrill Lynch,15,16.19,16.75,0.1167
3111,2002/5/24,SRA International ,SRX,Salomon Smith Barney,18,22.25,22.7,0.2611
3112,2002/5/30,Overstock.com,OSTK,WR Hambrecht+Co,13,13.5,13.03,0.0023
3113,2002/6/4,Plumtree Software ,PLUM,Goldman Sachs,8.5,9.61,8.5,0
3114,2002/6/5,Veridian ,VNX,Credit Suisse First Boston,16,18,18.15,0.1344
3115,2002/6/12,Pacer International,PACR,CS First Boston/Bear Stearns,15,15,15.95,0.0633
3116,2002/6/18,Printcafe Software ,PCAF,UBS Warburg,10,10.01,8,-0.2
3117,2002/6/20,CTI Molecular Imaging ,CTMI,Credit Suisse First Boston,17,17.35,19.5,0.1471
3118,2002/6/25,Big 5 Sporting Goods ,BGFV,Credit Suisse First Boston,13,13.01,13.17,0.0131
3119,2002/6/27,Hewitt Associates ,HEW,Goldman Sachs,19,22,23.5,0.2368
3120,2002/6/28,MTC Technologies ,MTCT,Legg Mason Wood Walker,17,20.01,18.8,0.1059
